項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
1,30248,40：福岡県,クリナラ遺跡,朝倉市杷木寒水字クリナラ,1号土壌出土炭化物(消し炭状),炭化物,T,h,平安時代後半?鎌倉時代期,----,EF,N-5387,β線法,940,70,----,----,----,----,----,----,社団法人日本アイソトープ協会,1997,C14年代測定,191?192,----,九州横断自動車道関係埋蔵文化財調査報告-43-,福岡県教育委員会
2,30247,40：福岡県,クリナラ遺跡,朝倉市杷木寒水字クリナラ,1号住居跡床面出土炭化板材,炭化材,T,f,古墳時代,6世紀後葉,D,N-5386,β線法,1650,75,----,----,----,----,----,----,社団法人日本アイソトープ協会,1997,C14年代測定,191?192,----,九州横断自動車道関係埋蔵文化財調査報告-43-,福岡県教育委員会
3,29903,40：福岡県,三奈木大佛山遺跡,朝倉市大字三奈木字大佛山,試料名:№2　三奈木大佛山経塚石室内,炭化材,T,f,古墳時代?鎌倉時代,----,DEF,Beta-81255,β線法,1200,60,----,----,----,----,-26.4,杉山真二（古環境研究所）,Beta Analytic Inc.,1996,三奈木大佛山経塚石室内木炭の放射性炭素年代測定,57,----,三奈木大佛山遺跡Ⅲ　甘木市文化財調査報告書　第39集,甘木市教育委員会
4,29904,40：福岡県,三奈木大佛山遺跡,朝倉市大字三奈木字大佛山,試料名:№3　三奈木大佛山経塚石室内,炭化材,T,f,古墳時代?鎌倉時代,----,DEF,Beta-81256,β線法,1140,60,----,----,----,----,-25.2,杉山真二（古環境研究所）,Beta Analytic Inc.,1996,三奈木大佛山経塚石室内木炭の放射性炭素年代測定,57,----,三奈木大佛山遺跡Ⅲ　甘木市文化財調査報告書　第39集,甘木市教育委員会
5,29902,40：福岡県,三奈木大佛山遺跡,朝倉市大字三奈木字大佛山,試料名:№1　三奈木大佛山経塚石室内　,炭化材,T,f,古墳時代?鎌倉時代,----,DEF,Beta-81254,β線法,1000,80,----,----,----,----,-27,杉山真二（古環境研究所）,Beta Analytic Inc.,1996,三奈木大佛山経塚石室内木炭の放射性炭素年代測定,57,----,三奈木大佛山遺跡Ⅲ　甘木市文化財調査報告書　第39集,甘木市教育委員会
6,29955,40：福岡県,三沢公家隈遺跡,小郡市三沢字公家隈,試料名:№1　水路脇杭列礎板,木材,T,d,不明,----,不明,Beta-154699,β線法,2410,60,----,----,----,----,-29,古環境研究所,Beta Analytic Inc.,2001,三沢公家隈遺跡3における放射性炭素年代測定,264?265,----,三沢蓬ヶ浦遺跡2　小郡市文化財調査報告書　第151集　,小郡市教育委員会
7,29953,40：福岡県,三沢蓬ヶ浦遺跡,小郡市三沢,試料名:№2　A区K-16　土器溜,炭化物,T,h,縄文時代?弥生時代,----,BC,Beta-136442,AMS法,2380,40,----,----,----,----,-28.9,古環境研究所,Beta Analytic Inc.,2001,三沢蓬ヶ浦遺跡2における放射性炭素年代測定,197?198,----,三沢蓬ヶ浦遺跡2　小郡市文化財調査報告書　第151集　,小郡市教育委員会
8,29954,40：福岡県,三沢蓬ヶ浦遺跡,小郡市三沢,試料名:№3　A区K-16　最下層,炭化物,T,h,縄文時代?弥生時代,----,BC,Beta-136443,AMS法,2460,40,----,----,----,----,-26.4,古環境研究所,Beta Analytic Inc.,2001,三沢蓬ヶ浦遺跡2における放射性炭素年代測定,197?198,----,三沢蓬ヶ浦遺跡2　小郡市文化財調査報告書　第151集　,小郡市教育委員会
9,29952,40：福岡県,三沢蓬ヶ浦遺跡,小郡市三沢,試料名:№1　A区K-16　中層?下層,炭化物,T,h,縄文時代?弥生時代,----,BC,Beta-136441,AMS法,2490,50,----,----,----,----,-27.1,古環境研究所,Beta Analytic Inc.,2001,三沢蓬ヶ浦遺跡2における放射性炭素年代測定,197?198,----,三沢蓬ヶ浦遺跡2　小郡市文化財調査報告書　第151集　,小郡市教育委員会
10,30044,40：福岡県,三郎丸遺跡(第3地点),北九州市小倉北区東城野町5番2,試料番号:SRM3-1F①-SD5,炭化材(クリ),T,f,古代,----,E,IAAA-130494,AMS法,1290,20,1292,23,-24.29,0.52,----,パリノ･サーヴェイ,加速器分析研究所,2014,北九州市三郎丸遺跡で検出された焼土坑出土炭化材の年代測定,145?147,----,北九州市埋蔵文化財調査報告書　第513集　三郎丸遺跡　第3地点3(1B･1F①･1F②区)　-城野駅北土地区画整理事業に伴う埋蔵文化財調査報告3-,財団法人北九州市芸術文化振興財団　埋蔵文化財調査室
11,30048,40：福岡県,三郎丸遺跡(第3地点),北九州市小倉北区東城野町5番2,試料番号:SRM3-1F②-SD2-№1,炭化材(クリ),T,f,古代,----,E,IAAA-130498,AMS法,1300,20,1301,24,-27.03,0.59,----,パリノ･サーヴェイ,加速器分析研究所,2014,北九州市三郎丸遺跡で検出された焼土坑出土炭化材の年代測定,145?147,----,北九州市埋蔵文化財調査報告書　第513集　三郎丸遺跡　第3地点3(1B･1F①･1F②区)　-城野駅北土地区画整理事業に伴う埋蔵文化財調査報告3-,財団法人北九州市芸術文化振興財団　埋蔵文化財調査室
12,30047,40：福岡県,三郎丸遺跡(第3地点),北九州市小倉北区東城野町5番2,試料番号:SRM3-1F①-SD20,炭化材(クリ),T,f,古代,----,E,IAAA-130497,AMS法,1320,20,1317,23,-24.11,0.5,----,パリノ･サーヴェイ,加速器分析研究所,2014,北九州市三郎丸遺跡で検出された焼土坑出土炭化材の年代測定,145?147,----,北九州市埋蔵文化財調査報告書　第513集　三郎丸遺跡　第3地点3(1B･1F①･1F②区)　-城野駅北土地区画整理事業に伴う埋蔵文化財調査報告3-,財団法人北九州市芸術文化振興財団　埋蔵文化財調査室
