項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
1,27275,46：鹿児島県,カムィヤキ古窯跡群,大島郡伊仙町阿三伊仙、検福,伊仙東柳田支群第Ⅰ地区,炭化材,T,f,中世,----,F,Beta-191012,AMS法,940,50,----,----,----,----,-26.6,古環境研究所,Beta Analytic Inc.,2005,カムィヤキ古窯跡群の放射性炭素年代測定,82-83,----,伊仙町埋蔵文化財発掘調査報告書(12)　カムィヤキ古窯跡群Ⅳ,伊仙町教育委員会
2,27277,46：鹿児島県,カムィヤキ古窯跡群,大島郡伊仙町阿三伊仙、検福,伊仙平スコ支群第Ⅱ地区1地点,炭化材,T,f,中世,----,F,Beta-191015,AMS法,880,40,----,----,----,----,-26.5,古環境研究所,Beta Analytic Inc.,2005,カムィヤキ古窯跡群の放射性炭素年代測定,82-83,----,伊仙町埋蔵文化財発掘調査報告書(12)　カムィヤキ古窯跡群Ⅳ,伊仙町教育委員会
3,27278,46：鹿児島県,カムィヤキ古窯跡群,大島郡伊仙町阿三伊仙、検福,検福イヤ川支群第Ⅰ地区1地点,炭化材,T,f,中世,----,F,Beta-191014,AMS法,910,40,----,----,----,----,-27.4,古環境研究所,Beta Analytic Inc.,2005,カムィヤキ古窯跡群の放射性炭素年代測定,82-83,----,伊仙町埋蔵文化財発掘調査報告書(12)　カムィヤキ古窯跡群Ⅳ,伊仙町教育委員会
4,27276,46：鹿児島県,カムィヤキ古窯跡群,大島郡伊仙町阿三伊仙、検福,伊仙東柳田支群第Ⅱ地区2地点,炭化材,T,f,中世,----,F,Beta-191013,AMS法,930,40,----,----,----,----,-26.7,古環境研究所,Beta Analytic Inc.,2005,カムィヤキ古窯跡群の放射性炭素年代測定,82-83,----,伊仙町埋蔵文化財発掘調査報告書(12)　カムィヤキ古窯跡群Ⅳ,伊仙町教育委員会
5,27280,46：鹿児島県,カムィヤキ古窯跡群,大島郡伊仙町阿三伊仙、検福,検福ウッタ支群第Ⅴ地区1地点,炭化材,T,f,中世,----,F,Beta-191017,AMS法,890,40,----,----,----,----,-26.7,古環境研究所,Beta Analytic Inc.,2005,カムィヤキ古窯跡群の放射性炭素年代測定,82-83,----,伊仙町埋蔵文化財発掘調査報告書(12)　カムィヤキ古窯跡群Ⅳ,伊仙町教育委員会
6,27279,46：鹿児島県,カムィヤキ古窯跡群,大島郡伊仙町阿三伊仙、検福,検福ウッタ支群第Ⅳ地区1地点,炭化材,T,f,中世,----,F,Beta-191016,AMS法,990,50,----,----,----,----,-26.7,古環境研究所,Beta Analytic Inc.,2005,カムィヤキ古窯跡群の放射性炭素年代測定,82-83,----,伊仙町埋蔵文化財発掘調査報告書(12)　カムィヤキ古窯跡群Ⅳ,伊仙町教育委員会
7,27274,46：鹿児島県,カムィヤキ古窯跡群,大島郡伊仙町阿三伊仙、検福,阿三亀焼支群第Ⅲ地区1地点,炭化材,T,f,中世,----,F,Beta-191018,AMS法,990,40,----,----,----,----,-25.9,古環境研究所,Beta Analytic Inc.,2005,カムィヤキ古窯跡群の放射性炭素年代測定,82-83,----,伊仙町埋蔵文化財発掘調査報告書(12)　カムィヤキ古窯跡群Ⅳ,伊仙町教育委員会
8,32454,46：鹿児島県,サモト遺跡,奄美市住用町城,第2層,炭化材(木炭粒),T,f,縄文時代晩期,----,B,N-4957,β線法,3070,65,----,----,----,----,----,----,日本アイソトープ協会,1986,C14測定結果,35･47,----,手広遺跡(概報)　研究室活動報告20　,熊本大学文学部考古学研究室
9,4224,46：鹿児島県,タチバナ遺跡,鹿児島郡十島村中之島,15住居跡,種実堅果類,T,g,縄文時代晩期,黒川式,B,IAAA-31580,AMS法,480,30,----,----,-21.24,0.66,----,学術創成研究グループ,加速器分析研究所,2009,地域別測定データ,139-524,KMAC-6,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
10,28497,46：鹿児島県,七ッ谷遺跡,姶良郡湧水町大字川西七ッ谷,試料名:サンプル3　第3地点　5層に単独で出土(炭化木11号),炭化材(広葉樹･樹皮),T,f,縄文時代早期,----,B,Gak-18733,β線法,3970,130,----,----,----,----,----,パリノ・サーヴェイ,学習院大学理学部年代測定室,1999,七ッ谷･石打遺跡出土炭化材の年代と樹種,388-390,----,吉松町埋蔵文化財発掘調査報告書(4)　七ッ谷遺跡･石打遺跡,吉松町教育委員会
