項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
1,32576,43：熊本県,うその谷窯跡,八代市奈良木町字うその谷,試料名:№2　3号窯内,炭化物,T,h,古代?近世,----,EFG,Beta-88263,β線法,1180,50,----,----,----,----,-28.1,古環境研究所,Beta Analytic Inc.,1996,うその谷窯跡出土遺物の自然科学分析,165?168,----,八代市文化財調査報告書　第8集　薬師堂跡･うその谷窯跡,八代市教育委員会
2,32578,43：熊本県,うその谷窯跡,八代市奈良木町字うその谷,試料名:№4　5号窯内,炭化物,T,h,古代?近世,----,EFG,Beta-88265,β線法,1210,50,----,----,----,----,-26,古環境研究所,Beta Analytic Inc.,1996,うその谷窯跡出土遺物の自然科学分析,165?168,----,八代市文化財調査報告書　第8集　薬師堂跡･うその谷窯跡,八代市教育委員会
3,32577,43：熊本県,うその谷窯跡,八代市奈良木町字うその谷,試料名:№3　4号窯内,炭化物,T,h,古代?近世,----,EFG,Beta-88264,β線法,1250,50,----,----,----,----,-29.2,古環境研究所,Beta Analytic Inc.,1996,うその谷窯跡出土遺物の自然科学分析,165?168,----,八代市文化財調査報告書　第8集　薬師堂跡･うその谷窯跡,八代市教育委員会
4,32579,43：熊本県,うその谷窯跡,八代市奈良木町字うその谷,試料名:№5　6号窯､灰原,炭化種子,T,g,古代?近世,----,EFG,Beta-92013,β線法,1410,60,----,----,----,----,-28.3,古環境研究所,Beta Analytic Inc.,1996,うその谷窯跡出土遺物の自然科学分析,165?168,----,八代市文化財調査報告書　第8集　薬師堂跡･うその谷窯跡,八代市教育委員会
5,32575,43：熊本県,うその谷窯跡,八代市奈良木町字うその谷,試料名:№1　1号窯､灰原,炭化種子,T,g,古代?近世,----,EFG,Beta-92012,AMS法,200,50,----,----,----,----,-28.5,古環境研究所,Beta Analytic Inc.,1996,うその谷窯跡出土遺物の自然科学分析,165?168,----,八代市文化財調査報告書　第8集　薬師堂跡･うその谷窯跡,八代市教育委員会
6,31989,43：熊本県,ヲスギ遺跡,熊本市北区植木町大字滴水字ヲスギ22-1他,試料名:№3　8区1号木棺墓,炭化物,T,h,平安時代以降,11世紀前半以降,EFGH,Beta-104021,β線法,1130,50,----,----,----,----,-27.3,古環境研究所,Beta Analytic Inc.,2004,放射性炭素年代測定,267,----,植木町文化財調査報告書　第18集　塔ノ本遺跡･今古閑久保遺跡･滴水尖遺跡･轟城跡･ヲスギ遺跡　轟地区ふるさと農道緊急整備事業に伴う埋蔵文化財発掘調査報告,植木町教育委員会
7,31990,43：熊本県,ヲスギ遺跡,熊本市北区植木町大字滴水字ヲスギ22-1他,試料名:№4　8区M･N6･7　1号焼土,炭化物,T,h,不明,----,不明,Beta-104022,β線法,2380,60,----,----,----,----,-27.6,古環境研究所,Beta Analytic Inc.,2004,放射性炭素年代測定,267,----,植木町文化財調査報告書　第18集　塔ノ本遺跡･今古閑久保遺跡･滴水尖遺跡･轟城跡･ヲスギ遺跡　轟地区ふるさと農道緊急整備事業に伴う埋蔵文化財発掘調査報告,植木町教育委員会
8,31991,43：熊本県,ヲスギ遺跡,熊本市北区植木町大字滴水字ヲスギ22-1他,試料名:№1　5区1号木棺墓,炭化物(樹皮),T,f,平安時代,10世紀末?11世紀前半,E,Beta-108212,AMS法,3440,50,----,----,----,----,-26.8,古環境研究所,Beta Analytic Inc.,2004,放射性炭素年代測定,267,----,植木町文化財調査報告書　第18集　塔ノ本遺跡･今古閑久保遺跡･滴水尖遺跡･轟城跡･ヲスギ遺跡　轟地区ふるさと農道緊急整備事業に伴う埋蔵文化財発掘調査報告,植木町教育委員会
9,31988,43：熊本県,ヲスギ遺跡,熊本市北区植木町大字滴水字ヲスギ22-1他,試料名:№2　8区B･C4･5炭集中部,炭化物,T,h,不明,----,不明,Beta-104020,β線法,1850,50,----,----,----,----,-26.2,古環境研究所,Beta Analytic Inc.,2004,放射性炭素年代測定,267,----,植木町文化財調査報告書　第18集　塔ノ本遺跡･今古閑久保遺跡･滴水尖遺跡･轟城跡･ヲスギ遺跡　轟地区ふるさと農道緊急整備事業に伴う埋蔵文化財発掘調査報告,植木町教育委員会
10,4221,43：熊本県,一尾貝塚,天草郡五和町大字御領字浜田,A-2貝層④-20cm,種実堅果類,T,g,縄文時代後期,北久根山式,B,IAAA-31577,AMS法,3520,30,----,----,-21.33,0.76,----,学術創成研究グループ,加速器分析研究所,2009,地域別測定データ,139-524,KMAC-2,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
11,4222,43：熊本県,一尾貝塚,天草郡五和町大字御領字浜田,A-2貝層④-20cm,種実堅果類,T,g,縄文時代後期,北久根山式,B,IAAA-31578,AMS法,3540,30,----,----,-18.42,0.69,----,学術創成研究グループ,加速器分析研究所,2009,地域別測定データ,139-524,KMAC-3,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
12,4223,43：熊本県,一尾貝塚,天草郡五和町大字御領字浜田,A-2貝層④-100cm,種実堅果類,T,g,縄文時代後期,南福寺式,B,IAAA-31579,AMS法,3630,30,----,----,-20.74,0.73,----,学術創成研究グループ,加速器分析研究所,2009,地域別測定データ,139-524,KMAC-4,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
13,4220,43：熊本県,一尾貝塚,天草郡五和町大字御領字浜田,A-2貝層④-95cm,種実堅果類,T,g,縄文時代後期,南福寺式,B,IAAA-31576,AMS法,3570,30,----,----,-21.64,0.8,----,学術創成研究グループ,加速器分析研究所,2009,地域別測定データ,139-524,KMAC-1,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
14,32010,43：熊本県,万太郎遺跡,菊池市森北万太郎上原国領森北西森北,試料名:№4　3号住居址カマド埋土,炭化物,T,h,古代,墨書土器,E,Beta-255380,AMS法,1530,40,----,----,----,----,-26.4,古環境研究所,Beta Analytic Inc.,2012,万太郎遺跡･森北院ノ馬場･迫畑遺跡における自然科学分析,184?190,----,菊池市文化財調査報告　第6集　万太郎遺跡･森北院ノ馬場･迫畑遺跡　,菊池市教育委員会
15,32012,43：熊本県,万太郎遺跡,菊池市森北万太郎上原国領森北西森北,試料名:№6　1号焼土集中部埋土,炭化材(広葉樹),T,f,縄文時代,----,B,PED-15308,AMS法,2495,20,2494,21,-28.26,0.17,----,古環境研究所,古環境研究所,2012,万太郎遺跡･森北院ノ馬場･迫畑遺跡における自然科学分析,184?190,----,菊池市文化財調査報告　第6集　万太郎遺跡･森北院ノ馬場･迫畑遺跡　,菊池市教育委員会
16,32011,43：熊本県,万太郎遺跡,菊池市森北万太郎上原国領森北西森北,試料名:№5　1号住居(煙道部),炭化種実(モモ･サクラ属),T,g,古代,8世紀代後半?9世紀代前半,E,PED-15307,AMS法,1135,20,1134,19,-26.8,0.12,----,古環境研究所,古環境研究所,2012,万太郎遺跡･森北院ノ馬場･迫畑遺跡における自然科学分析,184?190,----,菊池市文化財調査報告　第6集　万太郎遺跡･森北院ノ馬場･迫畑遺跡　,菊池市教育委員会
