項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
1,30950,45：宮崎県,七日市前遺跡,都城市高城町大井手,試料№:№1　SD4下層,炭化材,T,f,中世,14世紀後葉以降･龍泉窯系青磁椀,F,PED-22239,AMS法,605,20,607,21,-25.72,0.48,----,古環境研究所,古環境研究所,2014,七日市前遺跡における放射性炭素年代測定,317?318,----,都城市文化財調査報告書　第111集　真米田遺跡･七日市前遺跡　-雇用創出ゾーン整備事業に伴う埋蔵文化財発掘調査報告書-,都城市教育委員会
2,31073,45：宮崎県,上ノ原遺跡,宮崎市佐土原町大字西上那珂字上ノ原7106･7108.7109･7110･7112･7113･7114･7117･7118･7119･7120･7102･7137･7136･7134･7098･7140-2･7139-1･7139-2･7143･7133･7132･7130･7129-1･7129-3,試料名:№2　C区3号土坑底,土壌,T,k,旧石器時代?縄文時代早期,----,AB,Beta-114254,AMS法,5900,50,----,----,----,----,-24,古環境研究所,Beta Analytic Inc.,2002,上ノ原遺跡における放射性炭素年代測定結果(2),345?347,----,宮崎県埋蔵文化財センター発掘調査報告書　第58集　上ノ原遺跡(第Ⅱ分冊　縄文時代以降　図版編)　東九州自動車道建設(西都?清武間)に伴う埋蔵文化財発掘調査報告書ⅩⅣ,宮崎県埋蔵文化財センター
3,31071,45：宮崎県,上ノ原遺跡,宮崎市佐土原町大字西上那珂字上ノ原7106･7108.7109･7110･7112･7113･7114･7117･7118･7119･7120･7102･7137･7136･7134･7098･7140-2･7139-1･7139-2･7143･7133･7132･7130･7129-1･7129-3,試料名:№1　土壙3内,炭化物,T,h,旧石器時代?縄文時代早期,----,AB,Beta-101076,AMS法,950,50,----,----,----,----,-23.6,古環境研究所,Beta Analytic Inc.,2002,上ノ原遺跡における放射性炭素年代測定結果(1),330?332,----,宮崎県埋蔵文化財センター発掘調査報告書　第58集　上ノ原遺跡(第Ⅱ分冊　縄文時代以降　図版編)　東九州自動車道建設(西都?清武間)に伴う埋蔵文化財発掘調査報告書ⅩⅣ,宮崎県埋蔵文化財センター
4,31047,45：宮崎県,上ノ迫遺跡,宮崎郡佐土原町大字西上那珂字上ノ迫2666-1･2666-2･2667-3,試料名:№1　N区№2集石,炭化物,T,h,旧石器時代?古墳時代,----,ABCD,Beta-103419,AMS法,770,40,----,----,----,----,-27.3,古環境研究所,Beta Analytic Inc.,2001,上ノ迫遺跡の自然科学分析,41?43,----,宮崎県埋蔵文化財センター発掘調査報告書　第40集　上ノ迫遺跡　東九州自動車道建設(西都?清武間)に伴う埋蔵文化財発掘調査報告書Ⅵ　,宮崎県埋蔵文化財センター
5,31773,45：宮崎県,上三輪小切畑第1遺跡,延岡市上三輪町字小切畑2777-4･5,試料2　SC7　3層,炭化材(未同定),T,f,弥生時代後期後葉,----,C,IAAA-130692,AMS法,830,20,829,23,-26.45,0.5,----,パリノ･サーヴェイ,加速器分析研究所,2014,放射性炭素年代測定,29?31,----,宮崎県埋蔵文化財センター発掘調査報告書　第231集　上三輪小切畑第1遺跡　県道北方土々呂線道路改良工事に伴う埋蔵文化財発掘調査報告書,宮崎県埋蔵文化財センター
6,31772,45：宮崎県,上三輪小切畑第1遺跡,延岡市上三輪町字小切畑2777-4･5,試料1　SA1　覆土　C-1,炭化材(広葉樹の節),T,f,弥生時代後期後葉,----,C,IAAA-130691,AMS法,1790,20,1790,24,-27.81,0.45,----,パリノ･サーヴェイ,加速器分析研究所,2014,放射性炭素年代測定,29?31,----,宮崎県埋蔵文化財センター発掘調査報告書　第231集　上三輪小切畑第1遺跡　県道北方土々呂線道路改良工事に伴う埋蔵文化財発掘調査報告書,宮崎県埋蔵文化財センター
7,30803,45：宮崎県,上原第1遺跡,高城町大字有水字上原,試料№:№1霧島御池テフラ直下の黒ボク土,土壌,T,k,縄文時代,霧島御池テフラ,B,Gak-17052,β線法,5490,100,----,----,----,----,不明,古環境研究所,学習院大学理学部年代測定室,2004,高城町､細井地区遺跡群の自然科学分析,287?312,----,高城町文化財調査報告書　第14集　細井地区遺跡群　県営農地保全整備事業に伴う埋蔵文化財発掘調査報告書,高城町教育委員会
8,30858,45：宮崎県,上多々良遺跡,延岡市岡富町字上多々良,試料№:№3　1号住居床面,炭化物,T,h,古墳時代?古代,安国寺式袋状口縁壺,DE,PED-14073,AMS法,1880,20,----,----,-25.3,0.18,----,古環境研究所,古環境研究所,2011,上多々良遺跡B調査区1･2号住居址検出炭化物における放射性炭素年代測定,70?72,----,上多々良遺跡　延岡市文化財報告書　第45集　岡富古川土地区画整理事業に伴う埋蔵文化財発掘調査報告書　,延岡市教育委員会
9,30857,45：宮崎県,上多々良遺跡,延岡市岡富町字上多々良,試料№:№2　1号住居炉跡内,炭化物,T,h,古墳時代?古代,安国寺式袋状口縁壺,DE,PED-14072,AMS法,1840,20,----,----,-24.71,0.12,----,古環境研究所,古環境研究所,2011,上多々良遺跡B調査区1･2号住居址検出炭化物における放射性炭素年代測定,70?72,----,上多々良遺跡　延岡市文化財報告書　第45集　岡富古川土地区画整理事業に伴う埋蔵文化財発掘調査報告書　,延岡市教育委員会
10,30862,45：宮崎県,上多々良遺跡,延岡市岡富町字上多々良,試料番号:07R0712　1区第２水田面検出杭列,炭化材,T,f,古墳時代?古代,19?20世紀･染付椀･青磁椀他,DE,UGAMS-R02630,不明,20,40,----,----,----,----,----,財団法人九州環境管理協会,不明,2011,自然科学分析,190?193,----,上多々良遺跡　延岡市文化財報告書　第45集　岡富古川土地区画整理事業に伴う埋蔵文化財発掘調査報告書　,延岡市教育委員会
