項番,番号,都道府県,遺跡名,所在地,サンプル採取地点等,試料の種類,試料コード1,試料コード2,時代,時代詳細,時代コード,試料番号,測定方法,C14年代,C14年代±,暦年較正用C14年代,暦年較正用C14年代±,δ13C（AMS）,δ13C（AMS）±,δ13C（IRMS）,分析者（著者）,分析機関,刊行年,報告タイトル,ページ,備考,報告書名,発行者
1,2234,42：長崎県,カラカミ遺跡,壱岐市勝本町立石東触字カラカミ765-1,Btr溝3層No1789,炭化材,T,f,弥生時代中期～後期,----,C,Beta-200665,AMS法,1980,40,----,----,-27.1,----,-27.1,学術創成研究グループ,Beta Analytic Inc.,2009,地域別測定データ,139-524,NAKU-C5,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
2,2235,42：長崎県,カラカミ遺跡,壱岐市勝本町立石東触字カラカミ765-1,Btr溝3層No1822,炭化材,T,f,弥生時代中期～後期,----,C,Beta-200667,AMS法,1910,40,----,----,-25.8,----,-25.8,学術創成研究グループ,Beta Analytic Inc.,2009,地域別測定データ,139-524,NAKU-C6,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
3,2236,42：長崎県,カラカミ遺跡,壱岐市勝本町立石東触字カラカミ765-1,Btr溝2層,種実コメ,T,g,弥生時代,----,C,PLD-11630,AMS法,1925,25,----,----,-26.61,0.17,----,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,NAKU-C8,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
4,2238,42：長崎県,カラカミ遺跡,壱岐市勝本町立石東触字カラカミ765-1,B9-a貝層,種実コメ,T,g,弥生時代,----,C,PLD-11632,AMS法,2085,20,----,----,-26.02,0.16,----,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,NAKU-C11,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
5,30651,42：長崎県,カラカミ遺跡,壱岐市勝本町立石東触ほか,試料番号:NAKU-C11　第1地点B9-5a貝層,炭化米,T,g,弥生時代,----,C,PLD-11632,AMS法,2085,20,----,----,-26,0.2,----,小林謙一･坂本稔･西本豊弘,パレオ・ラボ,2008,カラカミ遺跡出土種子試料の14C年代測定,145?147,----,壱岐カラカミ遺跡Ⅱ　-カラカミ遺跡東亜考古学会第1地点の発掘調査-　平成20年度独立行政法人日本学術振興会科学研究費補助金基盤研究B,九州大学大学院人文科学研究院考古学研究室
6,30650,42：長崎県,カラカミ遺跡,壱岐市勝本町立石東触ほか,試料番号:NAKU-C10　第2地点Bトレンチ　溝3層,コムギ,T,e,弥生時代,----,C,PLD-11631,AMS法,1860,20,----,----,-25.9,0.2,----,小林謙一･坂本稔･西本豊弘,パレオ・ラボ,2008,カラカミ遺跡出土種子試料の14C年代測定,145?147,----,壱岐カラカミ遺跡Ⅱ　-カラカミ遺跡東亜考古学会第1地点の発掘調査-　平成20年度独立行政法人日本学術振興会科学研究費補助金基盤研究B,九州大学大学院人文科学研究院考古学研究室
7,30649,42：長崎県,カラカミ遺跡,壱岐市勝本町立石東触ほか,試料番号:NAKU-C8　第2地点Bトレンチ溝2層　,炭化米,T,g,弥生時代,----,C,PLD-11630,AMS法,1925,25,----,----,-26.6,0.2,----,小林謙一･坂本稔･西本豊弘,パレオ・ラボ,2008,カラカミ遺跡出土種子試料の14C年代測定,145?147,----,壱岐カラカミ遺跡Ⅱ　-カラカミ遺跡東亜考古学会第1地点の発掘調査-　平成20年度独立行政法人日本学術振興会科学研究費補助金基盤研究B,九州大学大学院人文科学研究院考古学研究室
8,30648,42：長崎県,カラカミ遺跡,壱岐市勝本町立石東触ほか,位置:B9　試料№:KRK07　遺物№:580　5b層　,ネコ脛骨,T,a,弥生時代,----,C,PLD-9649,AMS法,2140,25,2138,24,-18.19,0.18,----,小林紘一･丹生越子･伊藤茂･廣田正史･瀬谷薫･Zaur　Lomtatidze･Ineza　Jorjoliani,パレオ・ラボ,2008,カラカミ遺跡出土ネコ脛骨の放射性炭素年代測定,145?146,----,壱岐カラカミ遺跡Ⅰ　-カラカミ遺跡東亜考古学会第2地点の発掘調査-　平成19年度文部科学省科学研究費補助金基盤研究B(2),九州大学大学院人文科学研究院考古学研究室
9,2237,42：長崎県,カラカミ遺跡,壱岐市勝本町立石東触字カラカミ765-1,Btr溝3層,種実コムギ,T,g,弥生時代,----,C,PLD-11631,AMS法,1860,20,----,----,-25.94,0.16,----,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,NAKU-C10,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
10,2233,42：長崎県,カラカミ遺跡,壱岐市勝本町立石東触字カラカミ765-1,Btr溝3層No1842,炭化材,T,f,弥生時代中期～後期,----,C,Beta-200666,AMS法,2030,40,----,----,-27.5,----,-27.5,学術創成研究グループ,Beta Analytic Inc.,2009,地域別測定データ,139-524,NAKU-C4,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館
11,28624,42：長崎県,ヌカシ遺跡,対馬市豊玉町大字廻字ヌカシ69･70番地,Ⅳ層,炭化材,T,f,縄文時代中期,阿高式土器,B,Gak-5210,β線法,3470,65,----,----,----,----,----,坂田邦洋,学習院大学理学部年代測定室,1978,ヌカシ遺跡の編年,78?81,----,別府大学考古学研究室報告　第一冊　対馬ヌカシにおける縄文時代中期文化,別府大学文学部考古学研究室(坂田邦彦)
12,28623,42：長崎県,ヌカシ遺跡,対馬市豊玉町大字廻字ヌカシ69･70番地,Ⅲ層,炭化材,T,f,縄文時代中期,阿高式土器,B,Gak-5209,β線法,4080,40,----,----,----,----,----,坂田邦洋,学習院大学理学部年代測定室,1978,ヌカシ遺跡の編年,78?81,----,別府大学考古学研究室報告　第一冊　対馬ヌカシにおける縄文時代中期文化,別府大学文学部考古学研究室(坂田邦彦)
13,28622,42：長崎県,ヌカシ遺跡,対馬市豊玉町大字廻字ヌカシ69･70番地,Ⅱ層,炭化材,T,f,縄文時代後期初頭,南福寺式土器,B,Gak-5208,β線法,3700,60,----,----,----,----,----,坂田邦洋,学習院大学理学部年代測定室,1978,ヌカシ遺跡の編年,78?81,----,別府大学考古学研究室報告　第一冊　対馬ヌカシにおける縄文時代中期文化,別府大学文学部考古学研究室(坂田邦彦)
14,28858,42：長崎県,中ノ瀬遺跡,松浦市今福町,SK1　2層裏込土　試料:№4　最外年輪,炭化材,T,f,弥生時代,----,C,PLD-13173,AMS法,300,15,301,17,-29.14,0.21,----,パレオ･ラボAMS年代測定グループ,パレオ・ラボ,2012,放射性炭素年代測定,152?154,----,長崎県佐世保文化財調査事務所調査報告書　第7集　一般国道497号伊万里松浦道路建設に伴う埋蔵文化財発掘調査報告書　Ⅱ　中ノ瀬遺跡,長崎県教育委員会
15,28864,42：長崎県,中ノ瀬遺跡,松浦市今福町,試料№:№1　SX27下層地山,炭化材,T,f,弥生時代中期後半,----,C,PED-16672,AMS法,1870,20,1868,19,-25.31,0.13,----,古環境研究所,古環境研究所,2012,中ノ瀬遺跡における放射性炭素年代測定,157?158,----,長崎県佐世保文化財調査事務所調査報告書　第7集　一般国道497号伊万里松浦道路建設に伴う埋蔵文化財発掘調査報告書　Ⅱ　中ノ瀬遺跡,長崎県教育委員会
16,28863,42：長崎県,中ノ瀬遺跡,松浦市今福町,SK6　5層裏込め土,炭化材,T,f,中世,----,F,PLD-15515,AMS法,620,20,621,19,-25.2,0.12,----,パレオ･ラボAMS年代測定グループ,パレオ・ラボ,2012,放射性炭素年代測定,154?156,----,長崎県佐世保文化財調査事務所調査報告書　第7集　一般国道497号伊万里松浦道路建設に伴う埋蔵文化財発掘調査報告書　Ⅱ　中ノ瀬遺跡,長崎県教育委員会
17,28862,42：長崎県,中ノ瀬遺跡,松浦市今福町,SH3炉跡,炭化材,T,f,弥生時代中期後半,----,C,PLD-15514,AMS法,2190,20,2191,20,-25.77,0.14,----,パレオ･ラボAMS年代測定グループ,パレオ・ラボ,2012,放射性炭素年代測定,154?156,----,長崎県佐世保文化財調査事務所調査報告書　第7集　一般国道497号伊万里松浦道路建設に伴う埋蔵文化財発掘調査報告書　Ⅱ　中ノ瀬遺跡,長崎県教育委員会
18,28861,42：長崎県,中ノ瀬遺跡,松浦市今福町,SH2炉跡,炭化材,T,f,弥生時代中期後半,----,C,PLD-15513,AMS法,2115,20,2117,21,-25.24,0.12,----,パレオ･ラボAMS年代測定グループ,パレオ・ラボ,2012,放射性炭素年代測定,154?156,----,長崎県佐世保文化財調査事務所調査報告書　第7集　一般国道497号伊万里松浦道路建設に伴う埋蔵文化財発掘調査報告書　Ⅱ　中ノ瀬遺跡,長崎県教育委員会
19,28860,42：長崎県,中ノ瀬遺跡,松浦市今福町,SH1(古)炉跡,炭化材,T,f,弥生時代中期後半,----,C,PLD-15512,AMS法,2125,20,2126,20,-24.32,0.12,----,パレオ･ラボAMS年代測定グループ,パレオ・ラボ,2012,放射性炭素年代測定,154?156,----,長崎県佐世保文化財調査事務所調査報告書　第7集　一般国道497号伊万里松浦道路建設に伴う埋蔵文化財発掘調査報告書　Ⅱ　中ノ瀬遺跡,長崎県教育委員会
20,28859,42：長崎県,中ノ瀬遺跡,松浦市今福町,SH1(新)炉跡,炭化材,T,f,弥生時代中期後半,----,C,PLD-15511,AMS法,2090,20,2088,21,-26.02,0.17,----,パレオ･ラボAMS年代測定グループ,パレオ・ラボ,2012,放射性炭素年代測定,154?156,----,長崎県佐世保文化財調査事務所調査報告書　第7集　一般国道497号伊万里松浦道路建設に伴う埋蔵文化財発掘調査報告書　Ⅱ　中ノ瀬遺跡,長崎県教育委員会
21,28857,42：長崎県,中ノ瀬遺跡,松浦市今福町,SK1　4層貼床　試料:№3　最外年輪,炭化材,T,f,弥生時代,----,C,PLD-13172,AMS法,305,15,303,17,-27.75,0.22,----,パレオ･ラボAMS年代測定グループ,パレオ・ラボ,2012,放射性炭素年代測定,152?154,----,長崎県佐世保文化財調査事務所調査報告書　第7集　一般国道497号伊万里松浦道路建設に伴う埋蔵文化財発掘調査報告書　Ⅱ　中ノ瀬遺跡,長崎県教育委員会
22,28856,42：長崎県,中ノ瀬遺跡,松浦市今福町,SK1　1層　試料:№2,炭化材,T,f,弥生時代,----,C,PLD-13171,AMS法,290,20,290,18,-26.93,0.22,----,パレオ･ラボAMS年代測定グループ,パレオ・ラボ,2012,放射性炭素年代測定,152?154,----,長崎県佐世保文化財調査事務所調査報告書　第7集　一般国道497号伊万里松浦道路建設に伴う埋蔵文化財発掘調査報告書　Ⅱ　中ノ瀬遺跡,長崎県教育委員会
23,28855,42：長崎県,中ノ瀬遺跡,松浦市今福町,SF1　下層　試料:№1,炭化材,T,f,近世,----,G,PLD-13170,AMS法,2230,20,2231,19,-27.16,0.2,----,パレオ･ラボAMS年代測定グループ,パレオ・ラボ,2012,放射性炭素年代測定,152?154,----,長崎県佐世保文化財調査事務所調査報告書　第7集　一般国道497号伊万里松浦道路建設に伴う埋蔵文化財発掘調査報告書　Ⅱ　中ノ瀬遺跡,長崎県教育委員会
24,32434,42：長崎県,中島遺跡,五島市浜町大坪,測定番号:160562,種実(ヒシ),T,e,縄文時代後期,----,B,160562,不明,5820,40,----,----,----,----,----,----,古環境研究所,2002,はじめに,1,----,考古学研究室報告　第37集　,熊本大学文学部考古学研究室
25,32433,42：長崎県,中島遺跡,五島市浜町大坪,測定番号:160561,種実(アズキ),T,e,縄文時代後期,----,B,160561,不明,2120,50,----,----,----,----,----,----,古環境研究所,2002,はじめに,1,----,考古学研究室報告　第37集　,熊本大学文学部考古学研究室
